n_reinas,epochs,best_cost,schedule
16,226932,0,"{'tmax': 63.0, 'tmin': 0.15, 'steps': 880000, 'updates': 100}"
16,103894,0,"{'tmax': 39.0, 'tmin': 0.13, 'steps': 870000, 'updates': 100}"
16,344256,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 870000, 'updates': 100}"
16,455221,0,"{'tmax': 39.0, 'tmin': 0.13, 'steps': 880000, 'updates': 100}"
16,513674,0,"{'tmax': 63.0, 'tmin': 0.15, 'steps': 860000, 'updates': 100}"
16,260745,0,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 870000, 'updates': 100}"
16,51897,0,"{'tmax': 42.0, 'tmin': 0.067, 'steps': 870000, 'updates': 100}"
16,375093,0,"{'tmax': 42.0, 'tmin': 0.1, 'steps': 870000, 'updates': 100}"
16,498915,0,"{'tmax': 39.0, 'tmin': 0.13, 'steps': 890000, 'updates': 100}"
16,500886,0,"{'tmax': 42.0, 'tmin': 0.1, 'steps': 870000, 'updates': 100}"
16,474449,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 870000, 'updates': 100}"
16,288352,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 880000, 'updates': 100}"
17,584386,0,"{'tmax': 63.0, 'tmin': 0.15, 'steps': 800000, 'updates': 100}"
17,435440,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 800000, 'updates': 100}"
17,381389,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 800000, 'updates': 100}"
17,511876,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 800000, 'updates': 100}"
17,450917,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 800000, 'updates': 100}"
17,464802,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 790000, 'updates': 100}"
17,418017,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 780000, 'updates': 100}"
17,425502,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 800000, 'updates': 100}"
17,538339,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 790000, 'updates': 100}"
17,515946,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 790000, 'updates': 100}"
17,529251,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 780000, 'updates': 100}"
17,533284,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 790000, 'updates': 100}"
17,460686,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 790000, 'updates': 100}"
17,417781,0,"{'tmax': 68.0, 'tmin': 0.15, 'steps': 790000, 'updates': 100}"
17,424966,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 790000, 'updates': 100}"
17,509070,0,"{'tmax': 63.0, 'tmin': 0.15, 'steps': 800000, 'updates': 100}"
17,527521,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 800000, 'updates': 100}"
17,508024,0,"{'tmax': 68.0, 'tmin': 0.1, 'steps': 780000, 'updates': 100}"
17,502606,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 780000, 'updates': 100}"
17,291620,0,"{'tmax': 63.0, 'tmin': 0.15, 'steps': 770000, 'updates': 100}"
18,364504,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 720000, 'updates': 100}"
18,438068,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 720000, 'updates': 100}"
18,477301,0,"{'tmax': 68.0, 'tmin': 0.1, 'steps': 710000, 'updates': 100}"
18,431687,0,"{'tmax': 48.0, 'tmin': 0.067, 'steps': 710000, 'updates': 100}"
18,445798,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 720000, 'updates': 100}"
18,473026,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 710000, 'updates': 100}"
18,402477,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 670000, 'updates': 100}"
18,404344,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 680000, 'updates': 100}"
18,450591,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 710000, 'updates': 100}"
18,438255,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 710000, 'updates': 100}"
18,391256,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 710000, 'updates': 100}"
18,388388,0,"{'tmax': 30, 'tmin': 0.15, 'steps': 720000, 'updates': 100}"
18,437169,0,"{'tmax': 48.0, 'tmin': 0.067, 'steps': 720000, 'updates': 100}"
18,261994,0,"{'tmax': 68.0, 'tmin': 0.15, 'steps': 730000, 'updates': 100}"
18,464888,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 720000, 'updates': 100}"
18,491122,0,"{'tmax': 72.0, 'tmin': 0.1, 'steps': 710000, 'updates': 100}"
18,497457,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 710000, 'updates': 100}"
18,491226,0,"{'tmax': 68.0, 'tmin': 0.15, 'steps': 710000, 'updates': 100}"
18,166323,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 720000, 'updates': 100}"
18,507674,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 730000, 'updates': 100}"
19,378744,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 660000, 'updates': 100}"
19,390532,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 660000, 'updates': 100}"
19,431615,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 660000, 'updates': 100}"
19,434974,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 660000, 'updates': 100}"
19,444896,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 660000, 'updates': 100}"
19,343295,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 660000, 'updates': 100}"
19,435803,0,"{'tmax': 51.0, 'tmin': 0.17, 'steps': 660000, 'updates': 100}"
19,431758,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 660000, 'updates': 100}"
19,463479,0,"{'tmax': 34.0, 'tmin': 0.11, 'steps': 660000, 'updates': 100}"
19,414453,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 660000, 'updates': 100}"
19,350050,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 660000, 'updates': 100}"
19,346940,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 660000, 'updates': 100}"
19,446054,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 660000, 'updates': 100}"
19,423060,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 660000, 'updates': 100}"
19,443365,0,"{'tmax': 72.0, 'tmin': 0.15, 'steps': 670000, 'updates': 100}"
19,473868,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 670000, 'updates': 100}"
19,439788,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 660000, 'updates': 100}"
