n_reinas,epochs,best_cost,schedule
93,33211,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
93,31196,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
94,28882,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
94,29779,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
94,33000,1,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
94,33000,1,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
94,33000,1,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 33000, 'updates': 100}"
95,30850,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 32000, 'updates': 100}"
95,32000,1,"{'tmax': 80.0, 'tmin': 0.11, 'steps': 32000, 'updates': 100}"
95,28716,0,"{'tmax': 80.0, 'tmin': 0.049, 'steps': 32000, 'updates': 100}"
95,30650,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 32000, 'updates': 100}"
95,28404,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 32000, 'updates': 100}"
96,32000,1,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 32000, 'updates': 100}"
96,32000,1,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 32000, 'updates': 100}"
96,32000,3,"{'tmax': 87.0, 'tmin': 0.087, 'steps': 32000, 'updates': 100}"
96,32000,1,"{'tmax': 78.0, 'tmin': 0.11, 'steps': 32000, 'updates': 100}"
96,30456,0,"{'tmax': 80.0, 'tmin': 0.049, 'steps': 32000, 'updates': 100}"
97,28885,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 31000, 'updates': 100}"
97,31000,1,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 31000, 'updates': 100}"
97,29005,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 31000, 'updates': 100}"
97,31000,1,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 31000, 'updates': 100}"
97,31000,1,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 31000, 'updates': 100}"
98,30000,1,"{'tmax': 58.0, 'tmin': 0.039, 'steps': 30000, 'updates': 100}"
98,28431,0,"{'tmax': 39.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
98,30000,1,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 30000, 'updates': 100}"
98,30000,1,"{'tmax': 87.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
98,27890,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
99,28324,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
99,30000,2,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 30000, 'updates': 100}"
99,29000,1,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 29000, 'updates': 100}"
99,29722,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
99,30000,2,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
100,24359,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 29000, 'updates': 100}"
100,26209,0,"{'tmax': 58.0, 'tmin': 0.039, 'steps': 29000, 'updates': 100}"
100,25132,0,"{'tmax': 39.0, 'tmin': 0.058, 'steps': 29000, 'updates': 100}"
100,29000,1,"{'tmax': 39.0, 'tmin': 0.087, 'steps': 29000, 'updates': 100}"
100,28173,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 29000, 'updates': 100}"
